"Vlasnici vrlo pristojni i ljubazni, uvijek na raspolaganju i trude se maksimalno ugoditi gostima. Doručak raznovrstan, sobe i cijeli objekt uredni. Sve odlično, bez zamjerke."," 1"
"Sve je bilo na vrhunskom nivou, vlasnik je jedan jako dobar decko koji nam je sve omogucio, i gospodja koja je vodila dorucak koji je isto bio odlican, nikad nam nista nije falilo i uvijek smo bili posluzeni na vrijeme",1
"Voda u bazenu je bila hladna,jacuzzi nije radio u unutarnjem bazenu. Kada i svijetlo iznad ogledala u kupaonici u sobi također nisi radili",0
"Napravila sam rezervaciju putem Booking.com te za isto koristila i ostavila podatke službene kartice kako bi platili službeno putovanje. Poslala sam i mail sa molbom da se ista ta kartica koristi za naplatu na što nisam dobila nikakav odgovor.",0
"Kriva rezervacija, tri sobe, umjesto tri osobe; umjesto jedne veće sobe s pogledom na more kakvu smo rezervirali, dobili smo dvije manje...",0
"Osoblje hotela je ljubazno i susretljivo.",1
"Manji problemi sa parkingom",0
"Čistoća ,ljubaznost osoblja ,doručak i večera , ugodnost  smještaja",1
"Jako ljubazno osoblje, posebice osoblje u wellness & spa centru.",1
"Buka radova sa susjednog brda. Namještaj dotrajao u sobi.  Doručak bi mogao biti bolje dekoriran i obilniji.",0
"Wi-Fi nije uvijek bio dostupan. Hrana je trebala biti na grijačima.",0
"Krevet udoban i veliki, soba prostrana, čista, kupaonica odlična - čisti ručnici uvijek, temperatura kupaonice odlična. Autobusno stajalište tik do hotela. Hrana dobra.",1
"Područje oko bazena nije baš čisto, bazen nije grijan, nema sadržaja hotelskih, s obzirom na 4 zvjezdice slaba raznovrsnost hrane na doručku i večeri",0
"Cjelokupan boravak je bio odličan, počevši od hotelske usluge u hotelu Uvala i izvrsnog osoblja koje je bilo veoma ljubazno i na stalnoj usluzi. Teško je izdvojiti bilo koga jer su zaista svi ""za pet"".",1
"Prostorija u kojoj je bazen se slabo odrzava.",0
"Radnica na recepciji hotela vrlo neljubazna, nesusretljiva, bahata i arogantna.",0
"Niti jedan od dva jacuzzia nisu u funkciji, a to ne piše na stranicama ponude. Wellness nije u funkciji također. ",0
"Osoblje izvrsno, kao i čistoća i urednost hotela.",1
"Na rezervaciji smještajne jedinice fotografija balkona razlikovala se položajem u odnosu dodjeljenu jedinicu nakon dolaska.",0
"Odličan hotel! Nalazi odmah uz šetalište. Prostran balkon s prekrasnim pogledom na more i marinu “Kornati”. Posebne pohvale za jako srdačno i ljubazno osoblje, kao i za izbor hrane!",1
"Mali izbor TV kanala na hrvatskom jeziku",0
"Ponuda jela za doručak je dobra , bazen, ljubaznost osoblja, posebno gospođe u popodnevnoj smjeni na recepciji. Čistoća i opremljenost sobe je super.",1
"Soba u kojoj klima neradi, tus koji je nemoguce namjestiti, soba s pogledom na plinski tank.",0
"Soba predivna, hrana ukusna.",1
"Jastuci su jako losi i tanki,po meni bi bilo bolje da stave po jos jedan jastuk da si gost moze izabrati jastuk.",0
"Nedostatak zastora u kupaoni koja je sva u staklu. Kupaona ne pruza privatnost koristenja.",0
"Ljubazno osoblje. Bogat doručak u ugodnom okruženju. Lijepo i funkcionalno uređene sobe. I svakako besplatan parking!",1
"Wi-fi bi mogao biti kvalitetniji, jer u nekim dijeovima hotela skoro da i nema signala.

",0
"Odlicna lokacija hotela je najveca prednost, a za svaku pohvalu su i urednost, dorucak, tisina, osoblje te raspolozivost parkinga.",0
"Hrana je odlicna i raznovrsna za dorucak.Kreveti jako udobni.",1
"Vrhunsko osoblje , lokacija i cistoca objekta.",1
"Hotel je malen, ugodan, jako čist, kupaonica prostrano u sobi.",1
"Za vrijeme doručka nije se na vrijeme popunjavao stol na samoposluživanje narezaka, sira pa su neki morali čekati da se ponovno napuni.",0
"Izvrstan mali hotel na izvrsnoj lokaciji u blizini centra i svih sadržaja. Lijepo, uredno, čisto, udobni madraci, lijepa kupaonica",1
"Lokacija je izvan centra i prilazna ulica bi mogla biti ljepše uređena. U restoranu ispod soba postoji prostor za svadbe i zabave što narušava mir kod odmora u slučaju zabave.",0
"Lijepo uređene, uredne i čiste sobe koje ostavljaju dojam novog. Osoblje je profesionalno.",1
"Najveći problem je bio što gostima hotela nije bio osiguran parking. Te nismo imali gdje parkirati. ",0
"Svidio mi se ambijent. Prostor je nov i uređen. Čisto i uredno. ",1
"Nisam primijetio dovoljnu pristupacnost na recepciji niti od strane konobara. Nisu spremni prilagoditi se gostu za dodatne zahtjeve, posebno za vrijeme dorucka.",0
"Dali su mi vecu, komforniju slobodnu sobu premda je bila rezervirana manja",1
"Neorganizirano. Bez obzira na rezervaciju nekoliko dana ranije nisu znali da dolazim i nije bilo nikoga jer ne rade ponedjeljkom.",0
"Uredan mali hotel, sve je novo i čisto. Doručak po narudžbi u restoranu u sklopu objekta.",1
"Nema hrvatskih programa te vrlo malo satelitskih programa",0
"Treba poboljšati komunikaciju e-mailom (na dvije poruke o parkingu domaćin nam nije odgovorio) ",0
"Lokacija je izvanredna, domaćica ljubazna, apartman ugodan, jednostavno preuzimanje i vraćanje ključeva. Preporučila bih ovaj apartman svima koji dolaze na kraći period.",1
"Pokidane rolo zavjese koje se ne mogu podići, tuš kabina koja se ne može do kraja zatvoriti, stari i ispucali silikon oko umivaonika (ružno za vidjeti).",0
"Prijem je bio izuzetan, položaj apartmana je odličan jer je u samom centru",1
"Soba nije tako lijepa kao na fotki, fali kahalo kava i caj za jutro, kao u svakom apartmanu, na podu u kupani nema malog tepihica nego poslije tuša bosa na plocice. Nisam dobila racun kod placanja gotovinom. ",0
"Apartman je loš, slike koje predstavljaju apartman nemaju veze sa stvarnošću nešto lošije nisam vidjela, krevet je užasan tako da smo izašli nenaspavani i jedva smo čekali otići sva sreća po nas da je bila samo jedna noć",0
"U sobi nije bilo tople vode i smatram da me se prije trebalo na to upozorit prilikom telefonskog kontakta",0
"Tv nismo mogli namjestiti (nije bilo programa), nije bilo krpe za brisati suđe, malo ručnika",0
"Osoblje je bilo jako ljubazno i uslužno. Svidjela nam se blizina i pristupačnost. I apartman je vrijedio novca koji smo platili.",1
"Vrlo ljubazno osoblje, cistoca odlicna, nemam komentara, preporucam svima ovaj obijekt, vidimo se opet uskoro",1
"Buka od puštanja vode i kotlica, nema mikrovalnu. Mali problemi sa TV. Velika škripa ulaznih vrata.",0
"Odlična lokacija, u samom centru, sve je nadohvat ruke.  Ugodan ambijent. Vrlo ljubazna i susretljiva domaćica. Svakako ćemo se vratiti.",1
"Cistoca apartmana nije na nivou. Grozan miris u kupaonici.",0
